time (s),input (us),force (lb)
0.000,1750,5.06
0.002,1750,5.02
0.004,1750,4.81
0.006,1750,4.31
0.008,1750,4.74
0.010,1750,5.35
0.012,1750,5.06
0.014,1750,5.74
0.016,1750,5.31
0.018,1750,5.06
0.020,1750,5.35
0.022,1750,5.17
0.024,1750,5.56
0.026,1750,5.06
0.028,1750,5.13
0.030,1750,4.88
0.032,1750,4.56
0.034,1750,4.70
0.036,1750,5.17
0.038,1750,5.20
0.040,1750,5.42
0.042,1750,5.35
0.044,1751,5.17
0.046,1751,5.17
0.048,1751,5.24
0.050,1751,5.27
0.052,1751,4.60
0.054,1751,5.02
0.056,1751,5.06
0.058,1751,4.99
0.060,1751,4.88
0.062,1752,4.67
0.064,1752,4.85
0.066,1752,5.17
0.068,1752,5.35
0.070,1752,5.60
0.072,1752,5.13
0.074,1752,5.42
0.076,1753,5.17
0.078,1753,4.67
0.080,1753,4.92
0.082,1753,5.24
0.084,1753,4.88
0.086,1753,4.99
0.088,1754,4.78
0.090,1754,4.92
0.092,1754,5.45
0.094,1754,5.45
0.096,1754,5.24
0.098,1755,5.31
0.100,1755,5.35
0.102,1755,5.27
0.104,1755,5.02
0.106,1755,5.10
0.108,1756,4.81
0.110,1756,5.06
0.112,1756,5.24
0.114,1756,5.13
0.116,1757,5.52
0.118,1757,5.81
0.120,1757,5.27
0.122,1757,5.17
0.124,1758,5.49
0.126,1758,5.60
0.128,1758,5.20
0.130,1758,5.38
0.132,1759,5.10
0.134,1759,4.99
0.136,1759,5.27
0.138,1759,4.67
0.140,1760,5.35
0.142,1760,5.92
0.144,1760,5.81
0.146,1761,5.88
0.148,1761,5.52
0.150,1761,5.56
0.152,1761,5.24
0.154,1762,5.38
0.156,1762,5.45
0.158,1762,4.99
0.160,1763,5.13
0.162,1763,5.60
0.164,1763,5.35
0.166,1764,5.56
0.168,1764,5.35
0.170,1764,5.27
0.172,1765,5.35
0.174,1765,5.52
0.176,1765,5.52
0.178,1766,4.99
0.180,1766,5.31
0.182,1766,5.31
0.184,1767,5.63
0.186,1767,5.52
0.188,1768,5.31
0.190,1768,5.70
0.192,1768,6.13
0.194,1769,6.10
0.196,1769,5.88
0.198,1769,5.45
0.200,1770,5.81
0.202,1770,5.24
0.204,1771,5.60
0.206,1771,5.42
0.208,1771,4.99
0.210,1772,5.42
0.212,1772,5.24
0.214,1773,5.81
0.216,1773,6.02
0.218,1773,5.85
0.220,1774,5.88
0.222,1774,6.10
0.224,1775,5.95
0.226,1775,5.67
0.228,1775,5.60
0.230,1776,5.52
0.232,1776,5.52
0.234,1777,6.24
0.236,1777,5.63
0.238,1777,5.60
0.240,1778,5.88
0.242,1778,6.10
0.244,1779,6.06
0.246,1779,5.88
0.248,1780,6.17
0.250,1780,5.38
0.252,1780,6.17
0.254,1781,6.27
0.256,1781,5.70
0.258,1782,6.17
0.260,1782,5.92
0.262,1782,5.77
0.264,1783,6.02
0.266,1783,6.13
0.268,1784,6.02
0.270,1784,5.99
0.272,1784,6.67
0.274,1785,5.85
0.276,1785,6.13
0.278,1786,6.10
0.280,1786,6.45
0.282,1786,6.77
0.284,1787,6.31
0.286,1787,6.17
0.288,1788,6.06
0.290,1788,6.17
0.292,1788,6.24
0.294,1789,6.70
0.296,1789,6.27
0.298,1790,5.99
0.300,1790,6.74
0.302,1790,5.92
0.304,1791,6.10
0.306,1791,6.38
0.308,1791,6.49
0.310,1792,6.27
0.312,1792,6.56
0.314,1792,6.27
0.316,1793,6.42
0.318,1793,6.77
0.320,1793,6.17
0.322,1794,6.42
0.324,1794,6.42
0.326,1794,6.42
0.328,1795,6.70
0.330,1795,6.67
0.332,1795,6.99
0.334,1796,6.45
0.336,1796,6.38
0.338,1796,6.24
0.340,1796,6.77
0.342,1797,6.88
0.344,1797,6.56
0.346,1797,6.95
0.348,1797,6.17
0.350,1797,6.56
0.352,1798,6.52
0.354,1798,6.38
0.356,1798,6.60
0.358,1798,6.45
0.360,1798,6.70
0.362,1799,7.06
0.364,1799,6.88
0.366,1799,6.60
0.368,1799,6.77
0.370,1799,6.95
0.372,1799,6.85
0.374,1799,6.74
0.376,1799,7.02
0.378,1799,6.35
