time (s),input (us),force (lb)
0.000,1650,5.40
0.002,1850,5.29
0.004,1850,5.40
0.006,1850,5.04
0.008,1850,4.50
0.010,1850,4.58
0.012,1850,4.75
0.014,1850,6.07
0.016,1850,7.32
0.018,1850,9.00
0.020,1850,10.54
0.022,1850,11.57
0.024,1850,11.25
0.026,1850,10.71
0.028,1850,10.07
0.030,1850,8.36
0.032,1850,7.25
0.034,1850,8.22
0.036,1850,7.50
0.038,1850,6.86
0.040,1850,7.32
0.042,1850,7.79
0.044,1850,6.75
0.046,1850,7.89
0.048,1850,9.32
0.050,1850,8.47
0.052,1850,9.00
0.054,1850,9.89
0.056,1850,8.79
0.058,1850,8.47
0.060,1850,9.29
0.062,1850,9.25
0.064,1850,7.68
0.066,1850,8.64
0.068,1850,8.82
0.070,1850,7.04
0.072,1850,8.22
0.074,1850,9.00
0.076,1850,8.54
0.078,1850,8.82
0.080,1850,9.86
0.082,1850,9.82
0.084,1850,7.50
0.086,1850,8.57
0.088,1850,8.61
0.090,1850,6.54
0.092,1850,8.50
0.094,1850,9.07
0.096,1850,8.36
0.098,1850,8.79
0.100,1850,9.79
0.102,1850,9.25
0.104,1850,7.64
0.106,1850,9.25
0.108,1850,9.11
0.110,1850,7.86
0.112,1850,9.32
0.114,1850,8.86
0.116,1850,8.22
0.118,1850,8.97
0.120,1850,9.36
0.122,1850,8.07
0.124,1850,7.22
0.126,1850,9.00
0.128,1850,7.43
0.130,1850,7.00
0.132,1850,9.43
0.134,1850,8.79
0.136,1850,8.72
0.138,1850,9.64
0.140,1850,9.89
0.142,1850,9.07
0.144,1850,8.39
0.146,1850,10.64
0.148,1850,8.07
0.150,1850,8.29
0.152,1850,9.43
0.154,1850,7.72
0.156,1850,7.36
0.158,1850,8.18
0.160,1850,8.36
0.162,1850,7.50
0.164,1850,8.04
0.166,1850,10.07
0.168,1850,7.75
0.170,1850,8.79
0.172,1850,10.46
0.174,1850,9.36
0.176,1850,9.43
0.178,1850,10.07
0.180,1850,9.61
0.182,1850,7.82
0.184,1850,8.68
0.186,1850,8.54
0.188,1850,6.29
0.190,1850,7.82
0.192,1850,8.79
0.194,1850,7.22
0.196,1850,8.25
0.198,1850,9.32
0.200,1850,9.25
0.202,1850,8.79
0.204,1850,9.75
0.206,1850,10.21
0.208,1850,8.39
0.210,1850,9.61
0.212,1850,9.32
0.214,1850,8.29
0.216,1850,8.47
0.218,1850,8.72
0.220,1850,8.04
0.222,1850,7.04
0.224,1850,9.04
0.226,1850,7.43
0.228,1850,7.11
0.230,1850,9.71
0.232,1850,9.18
0.234,1850,8.68
0.236,1850,10.04
0.238,1850,10.14
0.240,1850,8.36
0.242,1850,7.79
0.244,1850,9.57
0.246,1850,7.18
0.248,1850,7.11
0.250,1850,9.14
0.252,1850,8.14
0.254,1850,7.72
0.256,1850,8.43
0.258,1850,9.00
0.260,1850,8.14
0.262,1850,8.18
0.264,1850,10.18
0.266,1850,7.93
0.268,1850,8.36
0.270,1850,10.32
0.272,1850,8.29
0.274,1850,7.93
0.276,1850,8.97
0.278,1850,9.07
0.280,1850,7.54
0.282,1850,7.89
0.284,1850,9.29
0.286,1850,7.18
0.288,1850,8.54
0.290,1850,9.82
0.292,1850,8.47
0.294,1850,8.79
0.296,1850,9.89
0.298,1850,9.36
0.300,1850,7.50
0.302,1850,8.57
0.304,1850,9.18
0.306,1850,7.04
0.308,1850,8.79
0.310,1850,8.89
0.312,1850,7.89
0.314,1850,8.18
0.316,1850,9.79
0.318,1850,8.82
0.320,1850,7.50
0.322,1850,9.36
0.324,1850,8.79
0.326,1850,7.57
0.328,1850,9.43
0.330,1850,8.57
0.332,1850,8.11
0.334,1850,9.04
0.336,1850,9.32
0.338,1850,8.07
0.340,1850,7.04
0.342,1850,9.32
0.344,1850,8.14
0.346,1850,7.25
0.348,1850,9.86
0.350,1850,8.86
0.352,1850,8.47
0.354,1850,9.46
0.356,1850,9.46
0.358,1850,8.07
0.360,1850,7.72
0.362,1850,9.89
0.364,1850,7.64
0.366,1850,8.11
0.368,1850,9.46
0.370,1850,7.97
0.372,1850,7.64
0.374,1850,9.46
0.376,1850,9.18
0.378,1850,7.72
0.380,1850,8.47
0.382,1850,10.07
0.384,1850,7.43
0.386,1850,8.64
0.388,1850,9.64
0.390,1850,8.39
0.392,1850,8.97
0.394,1850,10.32
0.396,1850,9.21
0.398,1850,7.61
0.400,1850,8.29
0.402,1850,8.68
0.404,1850,6.57
0.406,1850,8.79
0.408,1850,9.61
0.410,1850,8.11
0.412,1850,8.72
0.414,1850,9.82
0.416,1850,9.39
0.418,1850,7.39
0.420,1850,9.93
0.422,1850,9.07
0.424,1850,6.79
0.426,1850,9.25
0.428,1850,8.89
0.430,1850,7.82
0.432,1850,9.00
0.434,1850,9.71
0.436,1850,8.86
0.438,1850,7.36
0.440,1850,9.64
0.442,1850,8.04
0.444,1850,7.36
0.446,1850,9.79
0.448,1850,9.21
0.450,1850,8.07
0.452,1850,9.29
0.454,1850,9.64
0.456,1850,8.04
0.458,1850,7.32
0.460,1850,9.57
0.462,1850,7.25
0.464,1850,7.39
0.466,1850,9.71
0.468,1850,8.18
0.470,1850,7.86
0.472,1850,9.18
0.474,1850,9.32
0.476,1850,7.82
0.478,1850,7.97
0.480,1850,9.96
0.482,1850,7.22
0.484,1850,8.18
0.486,1850,9.93
0.488,1850,7.97
0.490,1850,8.47
0.492,1850,9.57
0.494,1850,9.11
0.496,1850,7.47
0.498,1850,8.25
0.500,1850,9.50
0.502,1850,7.68
0.504,1850,9.04
0.506,1850,10.07
0.508,1850,8.47
0.510,1850,8.57
0.512,1850,9.36
0.514,1850,8.82
0.516,1850,7.18
0.518,1850,9.18
0.520,1850,9.11
0.522,1850,6.90
0.524,1850,8.89
0.526,1850,9.18
0.528,1850,8.04
0.530,1850,8.50
0.532,1850,9.86
0.534,1850,9.18
0.536,1850,7.47
0.538,1850,9.46
0.540,1850,8.25
0.542,1850,6.68
0.544,1850,9.39
0.546,1850,8.75
0.548,1650,8.04
0.550,1650,8.79
0.552,1650,8.97
0.554,1650,8.11
0.556,1650,7.11
0.558,1650,8.86
0.560,1650,5.36
0.562,1650,2.26
0.564,1650,1.97
0.566,1650,-1.03
0.568,1650,-1.99
0.570,1650,-0.53
0.572,1650,1.83
0.574,1650,2.61
0.576,1650,3.11
0.578,1650,4.11
0.580,1650,2.08
0.582,1650,2.40
0.584,1650,2.65
0.586,1650,2.61
0.588,1650,3.08
0.590,1650,3.36
0.592,1650,3.65
0.594,1650,3.22
0.596,1650,3.18
