time (s),input (us),force (lb)
0.000,1700,4.58
0.002,1800,4.36
0.004,1800,5.00
0.006,1800,5.04
0.008,1800,5.22
0.010,1800,5.29
0.012,1800,5.79
0.014,1800,5.65
0.016,1800,6.29
0.018,1800,6.86
0.020,1800,7.25
0.022,1800,7.32
0.024,1800,7.47
0.026,1800,6.68
0.028,1800,6.61
0.030,1800,6.22
0.032,1800,6.47
0.034,1800,6.65
0.036,1800,6.75
0.038,1800,6.75
0.040,1800,6.36
0.042,1800,6.11
0.044,1800,5.54
0.046,1800,5.72
0.048,1800,6.40
0.050,1800,6.68
0.052,1800,6.32
0.054,1800,6.57
0.056,1800,7.18
0.058,1800,6.65
0.060,1800,6.57
0.062,1800,6.50
0.064,1800,6.54
0.066,1800,6.65
0.068,1800,6.11
0.070,1800,6.22
0.072,1800,6.57
0.074,1800,6.57
0.076,1800,6.50
0.078,1800,6.65
0.080,1800,6.57
0.082,1800,6.32
0.084,1800,6.40
0.086,1800,6.61
0.088,1800,6.86
0.090,1800,6.36
0.092,1800,6.40
0.094,1800,6.22
0.096,1800,6.22
0.098,1800,6.54
0.100,1800,7.14
0.102,1800,6.86
0.104,1800,6.43
0.106,1800,6.29
0.108,1800,7.00
0.110,1800,7.18
0.112,1800,6.75
0.114,1800,6.57
0.116,1800,6.65
0.118,1800,6.15
0.120,1800,6.11
0.122,1800,6.54
0.124,1800,6.50
0.126,1800,6.29
0.128,1800,6.25
0.130,1800,6.57
0.132,1800,6.50
0.134,1800,6.54
0.136,1800,7.00
0.138,1800,7.18
0.140,1800,6.93
0.142,1800,6.47
0.144,1800,6.79
0.146,1800,6.97
0.148,1800,6.50
0.150,1800,5.79
0.152,1800,6.36
0.154,1800,6.43
0.156,1800,6.25
0.158,1800,6.72
0.160,1800,7.07
0.162,1800,6.29
0.164,1800,6.50
0.166,1800,6.22
0.168,1800,6.50
0.170,1800,6.65
0.172,1800,6.40
0.174,1800,6.86
0.176,1800,6.97
0.178,1800,6.54
0.180,1800,6.50
0.182,1800,6.90
0.184,1800,7.07
0.186,1800,6.72
0.188,1800,6.25
0.190,1800,6.11
0.192,1800,6.11
0.194,1800,5.93
0.196,1800,6.11
0.198,1800,6.50
0.200,1800,6.54
0.202,1800,6.82
0.204,1800,7.00
0.206,1800,7.07
0.208,1800,7.11
0.210,1800,7.00
0.212,1800,6.86
0.214,1800,6.86
0.216,1800,6.11
0.218,1800,6.50
0.220,1800,6.43
0.222,1800,5.82
0.224,1800,6.43
0.226,1800,6.57
0.228,1800,6.93
0.230,1800,7.04
0.232,1800,7.07
0.234,1800,6.97
0.236,1800,6.93
0.238,1800,6.47
0.240,1800,6.68
0.242,1800,6.82
0.244,1800,6.22
0.246,1800,6.65
0.248,1800,6.79
0.250,1800,6.25
0.252,1800,6.54
0.254,1800,6.47
0.256,1800,6.75
0.258,1800,6.86
0.260,1800,6.93
